Gender,Height,Weight,Eye_lash_length
Male,73.84701702,241.8935632,12.13817935
Male,68.78190405,162.3104725,7.717246276
Male,74.11010539,212.7408556,12.22985232
Male,71.7309784,220.0424703,9.565674619
Male,69.88179586,206.3498006,9.723074369
Male,67.25301569,152.2121558,8.787574432
Male,68.78508125,183.9278886,13.50122561
Male,68.34851551,167.9711105,16.88733247
Male,67.01894966,175.9294404,9.314102091
Male,63.45649398,156.3996764,6.39236696
Male,71.19538228,186.6049256,13.50693488
Male,71.64080512,213.7411695,11.91143839
Male,64.76632913,167.1274611,5.287940417
Male,69.2830701,189.4461814,6.561681275
Male,69.24373223,186.434168,11.97467912
Male,67.6456197,172.1869301,5.592108004
Male,72.41831663,196.0285063,9.912530244
Male,63.97432572,172.8834702,15.9408268
Male,69.6400599,185.9839576,7.234225917
Male,67.93600485,182.426648,15.61492569
Male,67.91505019,174.1159291,14.93531949
Male,69.43943987,197.7314216,8.137939517
Male,66.14913196,149.173566,9.957102559
Male,75.20597361,228.7617806,10.2765991
Male,67.89319634,162.0066518,14.32770989
Male,68.1440328,192.3439766,14.48480667
Male,69.08963143,184.4351744,9.402534775
Male,72.80084352,206.8281894,13.82018663
Male,67.42124228,175.2139224,3.740798516
Male,68.49641536,154.3426389,11.43643369
Male,68.61811055,187.5068432,6.376415319
Male,74.03380762,212.9102253,4.49066296
Male,71.52821604,195.0322432,6.333360673
Male,69.1801611,205.1836213,11.43590097
Male,69.57720237,204.1641255,13.2541092
Male,70.40092889,192.9035151,12.49188918
Male,69.07617117,197.4882426,4.653830485
Male,67.19352328,183.8109732,6.294264169
Male,65.80731565,163.8518249,13.33732549
Male,64.30418789,163.1080171,8.554687504
Male,67.97433623,172.1355974,7.276793111
Male,72.18942596,194.0454049,8.554810976
Male,65.27034552,168.6177462,12.88845838
Male,66.09017738,161.1934326,5.844512323
Male,67.51032152,164.6602773,14.84999181
Male,70.10478626,188.9223032,9.683112109
Male,68.25183644,187.0605522,8.623757487
Male,72.17270912,209.0708634,3.574884192
Male,69.17985762,192.0143354,11.35246892
Male,72.87036015,211.3424968,6.756635523
Male,64.78258298,165.6116262,9.608675406
Male,70.18354989,201.0719181,15.00965839
Male,68.49145025,173.4239603,13.70394133
Male,67.33083088,181.4076793,3.490261796
Male,66.99094408,169.7377074,8.150339215
Male,66.4995499,163.3095283,12.38245054
Male,68.35305665,189.7102099,9.722856993
Male,70.77445907,192.1248473,6.445920141
Male,71.21592367,198.1984641,8.308048257
Male,70.01336535,209.5264998,7.193056614
Male,71.40318222,198.7597927,11.32004435
Male,69.55200509,198.0795237,12.60640515
Male,73.81853456,195.2906122,8.463193529
Male,66.99688275,164.943303,6.392948254
Male,71.41846589,179.8639023,14.01559663
Male,65.27930021,155.2504207,16.37363321
Male,68.27419147,184.5193912,15.79058484
Male,72.76536995,220.6780415,4.347919281
Male,68.0993798,183.3126553,3.112342701
Male,68.89670607,196.4513123,4.779513877
Male,69.28950996,184.5956083,9.101305231
Male,70.52322452,207.5328385,15.73901271
Male,69.66372523,177.2009288,5.487116697
Male,67.59526881,163.1080022,3.216352837
Male,72.50812038,216.2182301,14.02199258
Male,71.2529856,204.6554938,12.52437793
Male,71.80918689,200.9205712,12.46069537
Male,72.24516548,220.9017699,9.209353955
Male,66.51262766,196.4498603,13.94117856
Male,66.029034,168.64081,13.31310197
Male,67.57715394,181.432713,10.06920625
Male,68.2465686,198.6586733,11.28378484
Male,73.826127,237.9167359,16.61814446
Male,69.80246436,173.0412559,6.361551161
